dimension key1 key2 key3 value
'activePlus', '1', ' ' ,'11'
'languages', 'ENG', ' ' ,'english'
'languages', 'MAL', ' ' ,'malayalam'
'states', 'S1', ' ' ,'kerala'
'states', 'S2', ' ' ,'tamil nadu'
'states', 'S3', ' ' ,'guna milan'
'states', 'S4', ' ' ,'north indian'
'castes', '1', '1' ,'cast_one'
'castes', '1', '10' ,'cast_two'
'castes', '1', '11' ,'cast_three'
'castes', '1', '12' ,'cast_four'
'castes', '1', '13' ,'cast_five'
'castes', '1', '14' ,'cast_six'
'castes', '1', '15' ,'cast_seven'
'castes', '2', '1' ,'cast_one'
'castes', '2', '10' ,'cast_two'
'castes', '2', '11' ,'cast_three'
'castes', '2', '12' ,'cast_four'
'castes', '2', '13' ,'cast_five'
'castes', '2', '14' ,'cast_six'
'castes', '2', '15' ,'cast_seven'
'chartFormat', ' ', ' ' ,'south indian'
'chartFormat', ' ', ' ' ,'north indian'
'chartFormat', ' ', ' ' ,'east indian'
'chartFormat', ' ', ' ' ,'kerala'
